Date,GbpUsd
04 Jan 2016,1.4689
05 Jan 2016,1.4647
06 Jan 2016,1.4607
07 Jan 2016,1.4566
08 Jan 2016,1.454
11 Jan 2016,1.4531
12 Jan 2016,1.4366
13 Jan 2016,1.4441
14 Jan 2016,1.4393
15 Jan 2016,1.4307
18 Jan 2016,1.427
19 Jan 2016,1.4144
20 Jan 2016,1.4186
21 Jan 2016,1.4135
22 Jan 2016,1.4331
25 Jan 2016,1.4267
26 Jan 2016,1.4325
27 Jan 2016,1.4258
28 Jan 2016,1.4388
29 Jan 2016,1.4187
01 Feb 2016,1.4366
02 Feb 2016,1.4376
03 Feb 2016,1.4592
04 Feb 2016,1.4578
05 Feb 2016,1.4482
08 Feb 2016,1.4368
09 Feb 2016,1.4484
10 Feb 2016,1.446
11 Feb 2016,1.4435
12 Feb 2016,1.4458
15 Feb 2016,1.4455
16 Feb 2016,1.4307
17 Feb 2016,1.4314
18 Feb 2016,1.4366
19 Feb 2016,1.4266
22 Feb 2016,1.4135
23 Feb 2016,1.4105
24 Feb 2016,1.3932
25 Feb 2016,1.3949
26 Feb 2016,1.3862
29 Feb 2016,1.3929
01 Mar 2016,1.3925
02 Mar 2016,1.4064
03 Mar 2016,1.4156
04 Mar 2016,1.4216
07 Mar 2016,1.4205
08 Mar 2016,1.4211
09 Mar 2016,1.4222
10 Mar 2016,1.4307
11 Mar 2016,1.4395
14 Mar 2016,1.4323
15 Mar 2016,1.4165
16 Mar 2016,1.4099
17 Mar 2016,1.449
18 Mar 2016,1.4514
21 Mar 2016,1.4402
22 Mar 2016,1.4217
23 Mar 2016,1.4111
24 Mar 2016,1.4143
29 Mar 2016,1.4266
30 Mar 2016,1.4448
31 Mar 2016,1.4378
01 Apr 2016,1.4185
04 Apr 2016,1.4291
05 Apr 2016,1.4133
06 Apr 2016,1.4086
07 Apr 2016,1.4094
08 Apr 2016,1.4106
11 Apr 2016,1.4263
12 Apr 2016,1.4208
13 Apr 2016,1.4207
14 Apr 2016,1.414
15 Apr 2016,1.4178
18 Apr 2016,1.4274
19 Apr 2016,1.4402
20 Apr 2016,1.4401
21 Apr 2016,1.4338
22 Apr 2016,1.4409
25 Apr 2016,1.45
26 Apr 2016,1.4584
27 Apr 2016,1.4537
28 Apr 2016,1.4571
29 Apr 2016,1.465
03 May 2016,1.4551
04 May 2016,1.4482
05 May 2016,1.4497
06 May 2016,1.4432
09 May 2016,1.4398
10 May 2016,1.4462
11 May 2016,1.4465
12 May 2016,1.4503
13 May 2016,1.4351
16 May 2016,1.4405
17 May 2016,1.4467
18 May 2016,1.4617
19 May 2016,1.4585
20 May 2016,1.4515
23 May 2016,1.4461
24 May 2016,1.4609
25 May 2016,1.4714
26 May 2016,1.4682
27 May 2016,1.4616
31 May 2016,1.4557
01 Jun 2016,1.4414
02 Jun 2016,1.4447
03 Jun 2016,1.4517
06 Jun 2016,1.4464
07 Jun 2016,1.456
08 Jun 2016,1.4552
09 Jun 2016,1.4465
10 Jun 2016,1.4334
13 Jun 2016,1.4282
14 Jun 2016,1.4114
15 Jun 2016,1.4196
16 Jun 2016,1.4064
17 Jun 2016,1.4293
20 Jun 2016,1.4694
21 Jun 2016,1.467
22 Jun 2016,1.4687
23 Jun 2016,1.4798
24 Jun 2016,1.3621
27 Jun 2016,1.3152
28 Jun 2016,1.3322
29 Jun 2016,1.3523
30 Jun 2016,1.3429
01 Jul 2016,1.327
04 Jul 2016,1.3287
05 Jul 2016,1.3048
06 Jul 2016,1.2885
07 Jul 2016,1.2932
08 Jul 2016,1.296
11 Jul 2016,1.2987
12 Jul 2016,1.3186
13 Jul 2016,1.3215
14 Jul 2016,1.3323
15 Jul 2016,1.3231
18 Jul 2016,1.3286
19 Jul 2016,1.3136
20 Jul 2016,1.3175
21 Jul 2016,1.3211
22 Jul 2016,1.3085
25 Jul 2016,1.3122
26 Jul 2016,1.3116
27 Jul 2016,1.3114
28 Jul 2016,1.312
29 Jul 2016,1.3267
01 Aug 2016,1.3206
02 Aug 2016,1.3306
03 Aug 2016,1.3322
04 Aug 2016,1.3128
05 Aug 2016,1.3059
08 Aug 2016,1.3038
09 Aug 2016,1.2992
10 Aug 2016,1.3014
11 Aug 2016,1.2966
12 Aug 2016,1.2935
15 Aug 2016,1.2875
16 Aug 2016,1.2967
17 Aug 2016,1.3009
18 Aug 2016,1.3162
19 Aug 2016,1.3056
22 Aug 2016,1.3146
23 Aug 2016,1.3186
24 Aug 2016,1.325
25 Aug 2016,1.3189
26 Aug 2016,1.32
30 Aug 2016,1.3096
31 Aug 2016,1.3099
01 Sep 2016,1.3299
02 Sep 2016,1.3309
05 Sep 2016,1.3293
06 Sep 2016,1.343
07 Sep 2016,1.334
08 Sep 2016,1.3316
09 Sep 2016,1.3259
12 Sep 2016,1.3303
13 Sep 2016,1.3181
14 Sep 2016,1.3176
15 Sep 2016,1.3192
16 Sep 2016,1.3079
19 Sep 2016,1.3061
20 Sep 2016,1.2949
21 Sep 2016,1.2958
22 Sep 2016,1.3094
23 Sep 2016,1.296
26 Sep 2016,1.2976
27 Sep 2016,1.2987
28 Sep 2016,1.299
29 Sep 2016,1.2982
30 Sep 2016,1.2991
03 Oct 2016,1.2834
04 Oct 2016,1.2754
05 Oct 2016,1.2742
06 Oct 2016,1.2646
07 Oct 2016,1.2465
10 Oct 2016,1.2377
11 Oct 2016,1.2227
12 Oct 2016,1.2183
13 Oct 2016,1.2193
14 Oct 2016,1.2195
17 Oct 2016,1.2155
18 Oct 2016,1.2302
19 Oct 2016,1.2288
20 Oct 2016,1.2244
21 Oct 2016,1.2195
24 Oct 2016,1.2205
25 Oct 2016,1.2133
26 Oct 2016,1.2239
27 Oct 2016,1.2179
28 Oct 2016,1.2145
31 Oct 2016,1.2214
01 Nov 2016,1.222
02 Nov 2016,1.2315
03 Nov 2016,1.2455
04 Nov 2016,1.2545
07 Nov 2016,1.2393
08 Nov 2016,1.2407
09 Nov 2016,1.2444
10 Nov 2016,1.2486
11 Nov 2016,1.2579
14 Nov 2016,1.2453
15 Nov 2016,1.2384
16 Nov 2016,1.2423
17 Nov 2016,1.2437
18 Nov 2016,1.2312
21 Nov 2016,1.2474
22 Nov 2016,1.2422
23 Nov 2016,1.2399
24 Nov 2016,1.2464
25 Nov 2016,1.2453
28 Nov 2016,1.2412
29 Nov 2016,1.2507
30 Nov 2016,1.2497
01 Dec 2016,1.2622
02 Dec 2016,1.2658
05 Dec 2016,1.2707
06 Dec 2016,1.2712
07 Dec 2016,1.2609
08 Dec 2016,1.2555
09 Dec 2016,1.2564
12 Dec 2016,1.2669
13 Dec 2016,1.2684
14 Dec 2016,1.2701
15 Dec 2016,1.2409
16 Dec 2016,1.2434
19 Dec 2016,1.2392
20 Dec 2016,1.2353
21 Dec 2016,1.2376
22 Dec 2016,1.2298
23 Dec 2016,1.2256
28 Dec 2016,1.2227
29 Dec 2016,1.2226
30 Dec 2016,1.2303
