unit,accident,victim,pers_inv,geo,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006
NR,COLLIS,INJ,EMP,AT,1,0,2,0,5,0,0,1,2,0,2,4
NR,COLLIS,INJ,EMP,BE,1,1,0,0,0,1,0,2,0,4,1,0
NR,COLLIS,INJ,EMP,BG,0,0,0,0,0,3,0,0,0,0,2,2
NR,COLLIS,INJ,EMP,CH,0,0,2,0,0,1,0,0,0,0,0,0
NR,COLLIS,INJ,EMP,CHUNNEL,0,0,0,0,0,0,0,0,0,0,0,0
NR,COLLIS,INJ,EMP,CZ,4,0,2,1,0,0,0,0,1,1,0,2
NR,COLLIS,INJ,EMP,DE,5,1,0,2,2,1,2,0,6,5,4,8
NR,COLLIS,INJ,EMP,DK,0,0,0,0,0,0,0,0,0,0,0,0
NR,COLLIS,INJ,EMP,EE,0,0,0,0,0,0,0,0,0,0,0,0
NR,COLLIS,INJ,EMP,EL,0,0,0,0,1,1,0,0,0,0,0,3
NR,COLLIS,INJ,EMP,ES,1,0,0,2,0,1,0,1,0,0,1,0
NR,COLLIS,INJ,EMP,EU28,15,8,10,9,22,17,8,23,0,0,0,0
NR,COLLIS,INJ,EMP,FI,0,1,0,0,0,0,0,0,0,2,0,0
NR,COLLIS,INJ,EMP,FR,0,0,0,0,0,3,0,1,1,2,0,0
NR,COLLIS,INJ,EMP,HR,0,0,0,1,0,2,0,0,0,0,0,0
NR,COLLIS,INJ,EMP,HU,0,1,1,0,0,0,0,1,0,0,1,0
NR,COLLIS,INJ,EMP,IE,0,0,0,0,0,0,0,0,0,0,0,0
NR,COLLIS,INJ,EMP,IT,0,2,0,1,0,0,0,1,0,0,1,0
NR,COLLIS,INJ,EMP,LT,0,0,0,0,0,0,0,0,0,0,0,0
NR,COLLIS,INJ,EMP,LU,1,0,0,0,0,0,0,0,0,0,0,0
NR,COLLIS,INJ,EMP,LV,0,0,0,0,0,0,0,0,0,0,0,0
NR,COLLIS,INJ,EMP,ME,0,0,0,0,0,0,0,0,0,0,0,0
NR,COLLIS,INJ,EMP,MK,0,0,0,0,0,0,0,1,0,0,0,0
NR,COLLIS,INJ,EMP,NL,0,0,1,0,0,1,0,0,1,0,1,0
NR,COLLIS,INJ,EMP,NO,0,0,0,0,0,0,0,0,0,0,0,0
NR,COLLIS,INJ,EMP,PL,1,1,0,1,1,2,5,4,1,3,1,2
NR,COLLIS,INJ,EMP,PT,0,1,0,0,0,0,0,0,0,0,0,1
NR,COLLIS,INJ,EMP,RO,0,0,4,1,13,0,0,8,0,0,0,0
NR,COLLIS,INJ,EMP,SE,0,0,0,0,0,0,0,1,0,0,0,0
NR,COLLIS,INJ,EMP,SI,0,0,0,0,0,0,1,0,0,3,0,0
NR,COLLIS,INJ,EMP,SK,1,0,0,0,0,2,0,3,0,0,0,0
NR,COLLIS,INJ,EMP,TR,0,0,2,0,0,17,11,4,7,3,0,1
NR,COLLIS,INJ,EMP,UK,0,0,0,0,0,0,0,0,0,0,0,1
NR,COLLIS,INJ,LV_USR,AT,0,0,0,0,0,0,0,0,0,0,0,0
NR,COLLIS,INJ,LV_USR,BE,0,0,0,0,0,0,0,0,0,0,0,0
NR,COLLIS,INJ,LV_USR,BG,0,0,0,0,0,0,0,0,0,0,0,0
NR,COLLIS,INJ,LV_USR,CH,0,0,0,0,0,0,0,0,0,0,0,0
NR,COLLIS,INJ,LV_USR,CHUNNEL,0,0,0,0,0,0,0,0,0,0,0,0
NR,COLLIS,INJ,LV_USR,CZ,0,0,0,0,0,0,0,0,0,0,0,0
NR,COLLIS,INJ,LV_USR,DE,0,0,0,0,0,0,0,0,0,0,1,0
NR,COLLIS,INJ,LV_USR,DK,0,0,0,0,0,0,0,0,0,0,0,0
NR,COLLIS,INJ,LV_USR,EE,0,0,0,0,0,0,0,0,0,0,0,0
NR,COLLIS,INJ,LV_USR,EL,0,0,0,0,0,0,0,0,0,0,0,0
NR,COLLIS,INJ,LV_USR,ES,0,0,0,0,0,0,0,0,0,0,0,0
NR,COLLIS,INJ,LV_USR,EU28,0,1,0,0,0,0,0,0,0,0,0,0
NR,COLLIS,INJ,LV_USR,FI,0,0,0,0,0,0,0,0,0,0,0,0
NR,COLLIS,INJ,LV_USR,FR,0,0,0,0,0,0,0,0,0,0,0,0
NR,COLLIS,INJ,LV_USR,HR,0,0,0,0,0,0,0,0,0,0,0,0
NR,COLLIS,INJ,LV_USR,HU,0,1,0,0,0,0,0,0,0,0,0,0
NR,COLLIS,INJ,LV_USR,IE,0,0,0,0,0,0,0,0,0,0,0,0
NR,COLLIS,INJ,LV_USR,IT,0,0,0,0,0,0,0,0,0,0,0,0
NR,COLLIS,INJ,LV_USR,LT,0,0,0,0,0,0,0,0,0,0,0,0
NR,COLLIS,INJ,LV_USR,LU,0,0,0,0,0,0,0,0,0,0,0,0
NR,COLLIS,INJ,LV_USR,LV,0,0,0,0,0,0,0,0,0,0,0,0
NR,COLLIS,INJ,LV_USR,NL,0,0,0,0,0,0,0,0,0,0,0,0
NR,COLLIS,INJ,LV_USR,NO,0,0,0,0,0,0,0,0,0,0,0,0
NR,COLLIS,INJ,LV_USR,PL,0,0,0,0,0,0,0,0,0,0,0,0
NR,COLLIS,INJ,LV_USR,PT,0,0,0,0,0,0,0,0,0,0,0,0
NR,COLLIS,INJ,LV_USR,RO,0,0,0,0,0,0,0,0,0,0,0,0
NR,COLLIS,INJ,LV_USR,SE,0,0,0,0,0,0,0,0,0,0,0,0
NR,COLLIS,INJ,LV_USR,SI,0,0,0,0,0,0,0,0,0,0,0,0
NR,COLLIS,INJ,LV_USR,SK,0,0,0,0,0,0,0,0,0,0,0,0
NR,COLLIS,INJ,LV_USR,UK,0,0,0,0,0,0,0,0,0,0,0,0
NR,COLLIS,INJ,OTH,AT,0,0,0,0,0,0,0,0,3,0,1,0
NR,COLLIS,INJ,OTH,BE,0,0,0,1,0,0,0,0,0,1,0,0
NR,COLLIS,INJ,OTH,BG,0,0,0,0,0,0,0,0,0,0,0,0
NR,COLLIS,INJ,OTH,CH,0,0,0,0,0,0,0,0,0,0,0,0
NR,COLLIS,INJ,OTH,CHUNNEL,0,0,0,0,0,0,0,0,0,0,0,0
NR,COLLIS,INJ,OTH,CZ,0,1,0,0,0,0,0,0,0,1,0,1
NR,COLLIS,INJ,OTH,DE,0,0,0,2,0,5,1,1,3,2,0,0
NR,COLLIS,INJ,OTH,DK,0,0,0,0,0,0,0,0,0,0,0,0
NR,COLLIS,INJ,OTH,EE,0,0,0,0,0,0,0,0,0,0,0,0
NR,COLLIS,INJ,OTH,EL,0,0,0,0,0,0,0,0,0,0,0,0
NR,COLLIS,INJ,OTH,ES,0,0,0,0,0,1,0,0,1,0,0,0
NR,COLLIS,INJ,OTH,EU28,3,1,0,3,0,6,2,2,0,0,0,0
NR,COLLIS,INJ,OTH,FI,0,0,0,0,0,0,0,0,0,0,0,0
NR,COLLIS,INJ,OTH,FR,0,0,0,0,0,0,0,0,0,0,2,0
NR,COLLIS,INJ,OTH,HR,0,0,0,0,0,0,0,0,0,0,0,0
NR,COLLIS,INJ,OTH,HU,0,0,0,0,0,0,0,0,0,0,0,0
NR,COLLIS,INJ,OTH,IE,0,0,0,0,0,0,0,0,0,0,0,0
NR,COLLIS,INJ,OTH,IT,0,0,0,0,0,0,0,0,0,0,0,0
NR,COLLIS,INJ,OTH,LT,0,0,0,0,0,0,0,0,0,0,0,0
NR,COLLIS,INJ,OTH,LU,0,0,0,0,0,0,0,0,0,0,0,0
NR,COLLIS,INJ,OTH,LV,0,0,0,0,0,0,0,0,0,0,0,0
NR,COLLIS,INJ,OTH,ME,0,0,0,0,0,0,0,0,0,0,0,0
NR,COLLIS,INJ,OTH,MK,0,0,0,0,0,0,0,0,0,0,0,0
NR,COLLIS,INJ,OTH,NL,0,0,0,0,0,0,0,0,0,0,0,0
NR,COLLIS,INJ,OTH,NO,0,0,0,0,0,0,0,4,0,0,0,0
NR,COLLIS,INJ,OTH,PL,1,0,0,0,0,0,1,0,0,0,0,0
NR,COLLIS,INJ,OTH,PT,0,0,0,0,0,0,0,0,0,0,0,0
NR,COLLIS,INJ,OTH,RO,0,0,0,0,0,0,0,0,0,0,0,0
NR,COLLIS,INJ,OTH,SE,1,0,0,0,0,0,0,0,0,0,0,0
