unit,geo\time	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 
MIO_PKM,AT	12562 	12497 	12104 	11981 	11804 	11211 	10778 	10263 	10184 	10365 	9167 	8907 	8685 	8274 	: 
MIO_PKM,BA	29 	24 	34 	35 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_PKM,BE	: c	: c	: c	: c	: c	: 	10669 	10498 	10237 	10139 	9403 	8964 	8510 	9225 	: 
MIO_PKM,BG	1434 	1455 	1549 	1698 	1821 	1870 	2059 	2090 	2138 	2317 	2404 	2411 	: 	: 	: 
MIO_PKM,CH	20788 	20737 	20311 	19934 	19368 	19180 	19387 	19093 	18497 	17699 	: 	: 	: 	: 	: 
MIO_PKM,CY	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z
MIO_PKM,CZ	9403 	8738 	8125 	7644 	7512 	7196 	6669 p	6559 	6472 	6773 	6898 	6922 	6667 	6580 	: 
MIO_PKM,DE	95529 	95465 	91050 	90978 	89450 	93918 	89316 	82837 	81206 	82428 	79098 	78735 	74944 	75903 	: 
MIO_PKM,DK	6280 	6332 	6507 	6513 	6785 	6744 	6605 	6341 	6161 	6267 	6163 	6097 	5961 	5921 	5606 
MIO_PKM,EE	366 	316 	286 	280 	223 	235 	243 	247 	249 	274 	274 	257 	248 	193 	: 
MIO_PKM,EL	1112 	1192 	1263 	1072 	1056 	832 	958 	1383 	1467 	1657 	1930 	1811 	1854 	1668 	: 
MIO_PKM,ES	27585 	26646 	26108 	25034 	23755 	22446 	22931 	22343 	23055 	23453 	21362 	21620 	21151 	20328 	: 
MIO_PKM,EU27	: c	: c	: c	: c	: c	: 	: c	: c	: c	: c	395465 	388154 	: 	: 	: 
MIO_PKM,EU28	: c	: c	: c	: c	: c	: 	: c	: c	: c	: c	397038 	389477 	: 	: 	: 
MIO_PKM,FI	4271 	3868 	4114 	3874 	4053 	4035 	3882 	3959 	3876 	4052 	3778 	3540 	3478 	3352 	: 
MIO_PKM,FR	96690 	90612 	91377 	89499 	90485 	91205 	: c	: c	88610 	86516 	81961 	79809 	76884 	74359 	: 
MIO_PKM,HR	736 	827 	941 	917 	935 	1080 	1457 	1711 	1802 	1769 	1573 	1322 	1227 	1169 	: 
MIO_PKM,HU	: c	: c	: c	7710 	7806 	7769 	7763 	7653 	8004 	8291 	8752 	9524 	9714 	10406 	: 
MIO_PKM,IE	2122 	1991 	1918 	1728 	1569 	1578 	1638 	1678 	1683 	1976 	2007 	1872 	1781 	1582 	: 
MIO_PKM,IT	53231 	52178 	52207 	49957 	48739 	46759 	: c	47172 	48124 	49524 	49780 	50185 	50088 	49254 	: 
MIO_PKM,LI	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	: 
MIO_PKM,LT	315 	280 	262 	270 	278 	278 	269 	244 	231 	258 	246 	268 	280 	283 	: 
MIO_PKM,LU	438 	417 	418 	366 	394 	373 	349 	347 	: p	345 	316 	298 	267 	253 	: 
MIO_PKM,LV	596 	584 	590 	644 	721 	717 	733 	741 	748 	941 	975 	986 	889 	806 	: 
MIO_PKM,ME	60 	84 	81 	76 	73 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_PKM,MK	59 	83 	177 	80 	80 	99 	145 	155 	155 	: 	: 	: 	: 	: 	: 
MIO_PKM,MT	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z
MIO_PKM,NL	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	16325 	15889 	15153 	14509 	: 
MIO_PKM,NO	3584 	3695 	3555 	3440 	3260 	3092 	3076 	3186 	3080 p	3123 	2958 	2833 	2723 	2620 	: 
MIO_PKM,PL	20215 	19067 	17240 	15885 	16659 	17674 	17633 	17485 	18128 	19762 	19524 	18240 	17882 	18430 	: 
MIO_PKM,PT	4516 	4266 	3957 	3852 	3649 	3803 	4237 	4111 	4213 	4213 	3987 	3876 	3809 	3752 	: 
MIO_PKM,RO	5663 	4988 	5148 	4971 	4382 	4550 	5063 	5437 	6128 	6958 	7476 	8092 	7985 	8638 	: 
MIO_PKM,SE	13331 	12800 	12741 	12121 	11842 	11792 	11379 	11155 	11321 	11146 	10261 	9617 	8910 	8634 	: 
MIO_PKM,SI	570 	611 	628 	620 	679 	659 	689 	729 	773 	765 	740 	724 	716 	695 	: 
MIO_PKM,SK	3754 	3484 	3411 	2583 	2485 	2459 	2431 	2309 	2264 	2296 	2165 	2213 	2182 	2228 	: 
MIO_PKM,TR	4566 	4325 	4828 	4393 	3775 	4598 	5882 	5491 	5374 	5097 	5553 	5277 	5036 	5237 	: 
MIO_PKM,UK	68912 	68010 	66594 	64711 	61950 	60783 	58462 	55831 	52765 	53002 	50474 	47297 	44642 	43474 	: 
THS_PAS,AT	288503 	286990 	280060 	270913 	271888 	260518 	241526 	239974 	237658 	236789 	228488 	223931 	220116 	215083 	: 
THS_PAS,BA	472 	418 	512 	528 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
